"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.729312020E-1,8.412266970E-1,1.669442415E0,9.450004578E0,9.633134840E0
3.754927120E-1,8.552845716E-1,1.665254951E0,9.429515839E0,9.613550577E0
3.780543790E-1,8.726325035E-1,1.666451454E0,9.409326553E0,9.595518439E0
3.806162540E-1,8.831011057E-1,1.663011789E0,9.384650230E0,9.571684059E0
3.831782330E-1,9.010472894E-1,1.668694735E0,9.369396210E0,9.559394001E0
3.857397430E-1,9.192925692E-1,1.676172256E0,9.351449966E0,9.544855616E0
3.883014620E-1,9.376873970E-1,1.690080523E0,9.333353996E0,9.531375905E0
3.908635450E-1,9.563813210E-1,1.704586983E0,9.322437286E0,9.525130916E0
3.934255250E-1,9.728319645E-1,1.722383618E0,9.313164711E0,9.520926651E0
3.959873470E-1,9.849455953E-1,1.740479350E0,9.304939270E0,9.517419872E0
3.985495350E-1,9.886844158E-1,1.751695752E0,9.291030884E0,9.506271076E0
4.011116180E-1,9.982556701E-1,1.772632957E0,9.287442207E0,9.507645594E0
4.036731810E-1,1.001844883E0,1.793420553E0,9.284450531E0,9.508999533E0
4.062345870E-1,1.002742290E0,1.816601038E0,9.282057762E0,9.511158065E0
4.087960970E-1,1.003789067E0,1.839332819E0,9.279964447E0,9.513594371E0
4.113571910E-1,9.999007583E-1,1.864158392E0,9.275926590E0,9.514079154E0
4.139179720E-1,9.918249846E-1,1.888385773E0,9.274879456E0,9.516990414E0
4.164787540E-1,9.779167175E-1,1.912313938E0,9.264710426E0,9.510421914E0
4.190394310E-1,9.744769931E-1,1.937139511E0,9.266803741E0,9.517130160E0
4.216000560E-1,9.667003751E-1,1.966152430E0,9.268748283E0,9.524177641E0
4.241608370E-1,9.577272534E-1,1.991576195E0,9.268299103E0,9.528115527E0
4.267217220E-1,9.547362328E-1,2.014008999E0,9.263065338E0,9.527441051E0
4.292824000E-1,9.545866847E-1,2.031356812E0,9.256335258E0,9.524567636E0
4.318430250E-1,9.569795132E-1,2.046760559E0,9.245866776E0,9.517935228E0
4.344038060E-1,9.547362328E-1,2.050798655E0,9.227322578E0,9.500567265E0
4.369645350E-1,9.589236975E-1,2.060668945E0,9.222087860E0,9.498041675E0
4.395253680E-1,9.626624584E-1,2.071885347E0,9.212965012E0,9.492004646E0
4.420865660E-1,9.661021233E-1,2.081755638E0,9.200253487E0,9.482179289E0
4.446478160E-1,9.692427516E-1,2.097757816E0,9.189187050E0,9.475293030E0
4.472089100E-1,9.792626500E-1,2.109422684E0,9.177371979E0,9.467458784E0
4.497697950E-1,9.930213690E-1,2.119741678E0,9.164660454E0,9.458879292E0
4.523310970E-1,1.002891779E0,2.114806652E0,9.151499748E0,9.446065146E0
4.548924520E-1,1.027418256E0,2.118993998E0,9.146265030E0,9.444569224E0
4.574535970E-1,1.056132078E0,2.122882366E0,9.139386177E0,9.441950233E0
4.600149000E-1,1.088584781E0,2.123929262E0,9.135796547E0,9.442397518E0
4.625763060E-1,1.126720309E0,2.122732878E0,9.135348320E0,9.446167607E0
