"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.693897970E-1,1.047607660E0,1.604088426E0,1.063205910E1,1.080329867E1
2.719485470E-1,1.047458172E0,1.590927958E0,1.060947609E1,1.077910958E1
2.745076610E-1,1.049850941E0,1.574776411E0,1.058734322E1,1.075518220E1
2.770669840E-1,1.052094221E0,1.560718536E0,1.056341457E1,1.072979366E1
2.796262030E-1,1.054187894E0,1.543819308E0,1.054502010E1,1.070944159E1
2.821851610E-1,1.060917735E0,1.526620865E0,1.052662468E1,1.068952501E1
2.847438590E-1,1.062413216E0,1.507179141E0,1.050598717E1,1.066658695E1
2.873024530E-1,1.074676514E0,1.494018674E0,1.049177933E1,1.065196953E1
2.898610990E-1,1.085593700E0,1.485045552E0,1.047951603E1,1.063974296E1
2.924197970E-1,1.099950671E0,1.482054472E0,1.046650505E1,1.062798687E1
2.949785470E-1,1.112662554E0,1.479661703E0,1.045050335E1,1.061321992E1
2.975373490E-1,1.124028444E0,1.484746456E0,1.043659496E1,1.060143511E1
3.000961510E-1,1.133898854E0,1.484596848E0,1.042208862E1,1.058818614E1
3.026549010E-1,1.133450150E0,1.482353687E0,1.040025425E1,1.056633192E1
3.052137550E-1,1.144068360E0,1.486690640E0,1.037767220E1,1.054586278E1
3.077722970E-1,1.153340459E0,1.492971778E0,1.035090256E1,1.052142304E1
3.103304220E-1,1.156929731E0,1.501047611E0,1.032054329E1,1.049310460E1
3.128884950E-1,1.155434251E0,1.510469317E0,1.028674412E1,1.046105398E1
3.154469840E-1,1.149302602E0,1.526172161E0,1.024546814E1,1.042207826E1
3.180057340E-1,1.129860997E0,1.544866085E0,1.020464039E1,1.038257591E1
3.205646400E-1,1.096211910E0,1.556531072E0,1.015484047E1,1.033175951E1
3.231233900E-1,1.063609719E0,1.580309749E0,1.010788059E1,1.028581035E1
3.256816720E-1,1.025623560E0,1.606032610E0,1.006226826E1,1.024111746E1
3.282400050E-1,9.804590940E-1,1.628614902E0,1.001276588E1,1.019162240E1
3.307987030E-1,9.315557480E-1,1.653440475E0,9.964909554E0,1.014401715E1
3.333577130E-1,8.792127967E-1,1.679911017E0,9.918250084E0,1.009786120E1
3.359167760E-1,8.240283132E-1,1.708026767E0,9.875329018E0,1.005576955E1
3.384754220E-1,7.616653442E-1,1.728216171E0,9.828369141E0,1.000818191E1
3.410339110E-1,7.037889361E-1,1.756780505E0,9.788738251E0,9.970004672E0
3.435927130E-1,6.460621357E-1,1.789233088E0,9.754192352E0,9.937958531E0
3.461516720E-1,5.910272002E-1,1.820040703E0,9.724132538E0,9.910631409E0
3.487105780E-1,5.356931686E-1,1.854287982E0,9.697960854E0,9.888164431E0
3.512695360E-1,4.849952459E-1,1.886890173E0,9.675079346E0,9.869282409E0
3.538286510E-1,4.359423816E-1,1.917847395E0,9.652945518E0,9.851271064E0
3.563878700E-1,3.815056682E-1,1.940429568E0,9.631410599E0,9.832338664E0
3.589470880E-1,3.327519000E-1,1.966601133E0,9.621240616E0,9.825808610E0
3.615060990E-1,2.878864706E-1,1.991875291E0,9.619595528E0,9.827871789E0
3.640650050E-1,2.440679073E-1,2.016551256E0,9.623035431E0,9.835083071E0
3.666240680E-1,2.033899277E-1,2.038236141E0,9.633503914E0,9.848866518E0
3.691829220E-1,1.727318913E-1,2.062164545E0,9.652197838E0,9.871538989E0
3.717416200E-1,1.459621787E-1,2.078465462E0,9.678369522E0,9.900109102E0
3.743005780E-1,1.157527938E-1,2.092972040E0,9.703942299E0,9.927760413E0
3.768597970E-1,9.780662507E-2,2.114357948E0,9.734899521E0,9.962346328E0
3.794187550E-1,8.001000434E-2,2.137837410E0,9.769446373E0,1.000094160E1
3.819773490E-1,6.445665658E-2,2.165803671E0,9.799655914E0,1.003633978E1
3.845357860E-1,5.338985473E-2,2.188086748E0,9.828668594E0,1.006942404E1
3.870941720E-1,4.621138796E-2,2.205285072E0,9.854242325E0,1.009809435E1
3.896526090E-1,4.247260094E-2,2.222782612E0,9.874281883E0,1.012146280E1
3.922113070E-1,3.005983494E-2,2.228764772E0,9.877721786E0,1.012608926E1
3.947700570E-1,2.527418919E-2,2.245215416E0,9.884600639E0,1.013641755E1
3.973285990E-1,2.123630047E-2,2.259572268E0,9.888339996E0,1.014324335E1
3.998868800E-1,1.316052489E-2,2.274677038E0,9.886993408E0,1.014529287E1
4.024452650E-1,1.345962752E-3,2.288136721E0,9.881160736E0,1.014262831E1
4.050038070E-1,-1.615155302E-2,2.297558308E0,9.873832703E0,1.013763322E1
4.075625050E-1,-3.843471408E-2,2.305933237E0,9.865009308E0,1.013100261E1
4.101212550E-1,-7.432705164E-2,2.308774710E0,9.845717430E0,1.011306664E1
4.126797970E-1,-1.067797095E-1,2.317598343E0,9.827920914E0,1.009805394E1
4.152382340E-1,-1.444666684E-1,2.320589304E0,9.809974670E0,1.008174630E1
4.177968800E-1,-1.870888174E-1,2.316102743E0,9.792178154E0,1.006409892E1
4.203557860E-1,-2.385345101E-1,2.309971094E0,9.783802986E0,1.005562858E1
4.229148490E-1,-3.001496792E-1,2.309372902E0,9.779017448E0,1.005248603E1
4.254737550E-1,-3.683451414E-1,2.314008951E0,9.774829865E0,1.005174684E1
4.280323490E-1,-4.468596280E-1,2.313410759E0,9.771689415E0,1.005173950E1
4.305910470E-1,-5.283651352E-1,2.324028969E0,9.784550667E0,1.007063613E1
4.331499530E-1,-1.127169013E0,2.338086843E0,9.805637360E0,1.014335665E1
4.357089110E-1,-1.166501045E0,2.357827663E0,9.824181557E0,1.017028118E1
4.382679740E-1,-1.222433209E0,2.387139797E0,9.843025208E0,1.020185888E1
4.408270360E-1,-1.280758262E0,2.417648077E0,9.869047165E0,1.024126242E1
4.433860470E-1,-1.338933825E0,2.451745987E0,9.896863937E0,1.028356543E1
4.459452130E-1,-1.394267797E0,2.477169752E0,9.918997765E0,1.031827841E1
4.485044320E-1,-1.429262877E0,2.505434752E0,9.951898575E0,1.036148063E1
4.510638590E-1,-1.452592850E0,2.523380995E0,9.980762482E0,1.039678303E1
4.536233900E-1,-1.458425403E0,2.534148693E0,1.001097202E1,1.042921258E1
4.561826610E-1,-1.449153185E0,2.539083958E0,1.004222775E1,1.045912665E1
4.587420360E-1,-1.421635747E0,2.533849716E0,1.007468033E1,1.048525757E1
4.613013590E-1,-1.387986660E0,2.522334099E0,1.010533905E1,1.050745229E1
4.638605780E-1,-1.341476202E0,2.490928411E0,1.013270664E1,1.052026742E1
4.664199010E-1,-1.282403350E0,2.460120678E0,1.016515923E1,1.053694520E1
4.689793280E-1,-1.223480105E0,2.430958271E0,1.019850922E1,1.055538024E1
4.715387030E-1,-1.169492126E0,2.405534506E0,1.023260689E1,1.057641488E1
4.740982340E-1,-1.122084260E0,2.383400917E0,1.026969528E1,1.060218441E1
4.766579220E-1,-1.082901835E0,2.366501570E0,1.030469036E1,1.062824772E1
4.792172970E-1,-1.053141117E0,2.354387999E0,1.034028435E1,1.065709761E1
4.817764110E-1,-1.036540866E0,2.343919277E0,1.036211872E1,1.067435614E1
4.843354220E-1,-1.022782087E0,2.343470573E0,1.038036346E1,1.069064466E1
4.868942760E-1,-1.017996430E0,2.338535547E0,1.039157963E1,1.069999964E1
4.894532340E-1,-1.013509989E0,2.329412937E0,1.039905739E1,1.070484758E1
4.920122450E-1,-1.014257669E0,2.314457655E0,1.040354443E1,1.070603426E1
4.945711510E-1,-1.022034407E0,2.294268370E0,1.040264702E1,1.070155534E1
4.971300570E-1,-1.033549786E0,2.269442797E0,1.039965630E1,1.069445870E1
4.996891720E-1,-1.055234790E0,2.236242294E0,1.038769150E1,1.067794150E1
5.022480780E-1,-1.077517986E0,2.213361025E0,1.038589668E1,1.067365270E1
5.048069320E-1,-1.106530905E0,2.188684940E0,1.038694382E1,1.067255144E1
5.073658380E-1,-1.143619657E0,2.164756775E0,1.038784122E1,1.067245441E1
5.099246930E-1,-1.185643673E0,2.143969059E0,1.038888836E1,1.067386320E1
5.124836510E-1,-1.229462147E0,2.123630047E0,1.039696407E1,1.068261408E1
5.150425050E-1,-1.274776220E0,2.101047754E0,1.040189934E1,1.068826300E1
5.176012030E-1,-1.326221943E0,2.076820612E0,1.040159988E1,1.068949618E1
5.201598490E-1,-1.369741440E0,2.059472561E0,1.041491032E1,1.070457733E1
5.227182860E-1,-1.405185103E0,2.042124510E0,1.043375397E1,1.072418013E1
5.252768280E-1,-1.428963780E0,2.022084713E0,1.045753193E1,1.074666172E1
5.278355780E-1,-1.447358608E0,2.000100613E0,1.048819065E1,1.077485000E1
5.303945880E-1,-1.456032634E0,1.976022840E0,1.052213860E1,1.080463317E1
5.329534430E-1,-1.461117268E0,1.950449586E0,1.056176949E1,1.083928466E1
5.355121930E-1,-1.470090389E0,1.916351795E0,1.059900761E1,1.087071903E1
5.380708380E-1,-1.466800332E0,1.892722726E0,1.064492035E1,1.091092259E1
5.406291720E-1,-1.459173203E0,1.869841337E0,1.069262695E1,1.095252319E1
5.431878700E-1,-1.445115328E0,1.849801421E0,1.074631596E1,1.099970137E1
