"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.916895840E-1,1.990230203E0,9.575926781E0,-1.288086295E0,9.865016790E0
2.942500010E-1,1.989482522E0,9.571739197E0,-1.290778279E0,9.861153103E0
2.968102090E-1,1.991277099E0,9.563364029E0,-1.290778279E0,9.853386453E0
2.993703650E-1,1.995464563E0,9.551400185E0,-1.288086295E0,9.842270603E0
3.019306780E-1,1.999203324E0,9.543474197E0,-1.283300638E0,9.834712717E0
3.044912510E-1,2.002643108E0,9.536594391E0,-1.276570916E0,9.827860667E0
3.070518230E-1,2.010569334E0,9.530761719E0,-1.272981644E0,9.823354328E0
3.096121880E-1,2.010569334E0,9.523583412E0,-1.271934748E0,9.816254278E0
3.121722920E-1,2.019243240E0,9.518648148E0,-1.262363553E0,9.812011392E0
3.147326050E-1,2.029412746E0,9.512217522E0,-1.253839016E0,9.806778806E0
3.172934380E-1,2.038385868E0,9.511320114E0,-1.248604774E0,9.807101567E0
3.198542710E-1,2.043919086E0,9.510871887E0,-1.241575837E0,9.806926116E0
3.224146360E-1,2.048854351E0,9.512816429E0,-1.235294700E0,9.809048555E0
3.249746360E-1,2.053340912E0,9.517152786E0,-1.229761243E0,9.813496766E0
3.275346880E-1,2.055285215E0,9.518797874E0,-1.236491084E0,9.816344559E0
3.300948440E-1,2.063211441E0,9.531360626E0,-1.238435268E0,9.830432277E0
3.326550010E-1,2.072483540E0,9.542427063E0,-1.245015502E0,9.843940566E0
3.352152090E-1,2.083251238E0,9.552147865E0,-1.250399351E0,9.856315899E0
3.377754170E-1,2.090429783E0,9.563215256E0,-1.255185008E0,9.869167752E0
3.403354690E-1,2.096860409E0,9.573084831E0,-1.261615753E0,9.880913473E0
3.428957820E-1,2.100150585E0,9.581909180E0,-1.271785259E0,9.891463681E0
3.454563550E-1,2.100898266E0,9.582656860E0,-1.287637711E0,9.894397248E0
3.480167710E-1,2.107927084E0,9.589535713E0,-1.288086295E0,9.902611680E0
3.505771360E-1,2.114058733E0,9.590881348E0,-1.285992622E0,9.904949590E0
3.531372920E-1,2.117199421E0,9.594620705E0,-1.283898950E0,9.908969491E0
3.556972400E-1,2.122583151E0,9.598060608E0,-1.284497142E0,9.913529118E0
3.582570840E-1,2.127368927E0,9.601201057E0,-1.280010581E0,9.917015044E0
3.608169280E-1,2.133949041E0,9.604042053E0,-1.278365493E0,9.920966717E0
3.633769280E-1,2.130509377E0,9.606734276E0,-1.286142230E0,9.923838747E0
3.659368760E-1,2.131406784E0,9.613015175E0,-1.289133191E0,9.930499485E0
3.684966670E-1,2.132304192E0,9.621090889E0,-1.291675568E0,9.938839813E0
3.710565630E-1,2.130808592E0,9.628269196E0,-1.298554897E0,9.946364048E0
3.736165110E-1,2.129612207E0,9.632158279E0,-1.309173107E0,9.951264015E0
3.761766150E-1,2.126322031E0,9.633503914E0,-1.316052437E0,9.952770321E0
3.787368230E-1,2.125873327E0,9.637093544E0,-1.321884990E0,9.956921678E0
3.812968230E-1,2.118694782E0,9.633354187E0,-1.333849072E0,9.953367964E0
3.838567710E-1,2.123480558E0,9.638588905E0,-1.338036537E0,9.960015439E0
3.864168760E-1,2.130060911E0,9.643524170E0,-1.346411347E0,9.967323684E0
3.889772400E-1,2.138435602E0,9.647860527E0,-1.353589892E0,9.974283191E0
3.915378650E-1,2.143520355E0,9.654142380E0,-1.362263799E0,9.982630278E0
3.940985940E-1,2.148006916E0,9.662218094E0,-1.369591832E0,9.992405816E0
3.966591670E-1,2.152044773E0,9.667003632E0,-1.375872970E0,9.998764041E0
3.992196880E-1,2.153540373E0,9.661918640E0,-1.388285756E0,9.995886418E0
4.017803650E-1,2.161167383E0,9.661320686E0,-1.395314693E0,9.997933034E0
4.043408340E-1,2.165504456E0,9.658478737E0,-1.401296735E0,9.996962218E0
4.069011980E-1,2.167000055E0,9.656235695E0,-1.406381488E0,9.995833428E0
4.094616670E-1,2.166102648E0,9.654291153E0,-1.410718441E0,9.994371659E0
4.120220320E-1,2.165354967E0,9.652795792E0,-1.416850090E0,9.993632618E0
4.145825530E-1,2.164906263E0,9.651599884E0,-1.417298794E0,9.992443911E0
4.171429690E-1,2.159970999E0,9.643524170E0,-1.419691563E0,9.983914927E0
4.197034380E-1,2.157129526E0,9.642925262E0,-1.420439363E0,9.982828426E0
4.222640110E-1,2.157279253E0,9.642327309E0,-1.416102409E0,9.981666982E0
4.248244800E-1,2.155035973E0,9.642028809E0,-1.412214041E0,9.980343085E0
4.273847920E-1,2.153241158E0,9.644271851E0,-1.408624768E0,9.981615638E0
4.299452090E-1,2.156531334E0,9.651300430E0,-1.407876968E0,9.989011210E0
4.325057300E-1,2.164308071E0,9.662218094E0,-1.406979680E0,1.000111392E1
4.350660420E-1,2.164308071E0,9.664909363E0,-1.415504098E0,1.000491650E1
4.376261460E-1,2.170439720E0,9.673434258E0,-1.416700602E0,1.001464825E1
4.401862510E-1,2.180908203E0,9.681061745E0,-1.419990659E0,1.002475389E1
4.427462510E-1,2.185245275E0,9.690333366E0,-1.422832131E0,1.003505401E1
4.453060420E-1,2.191675901E0,9.696166039E0,-1.422682643E0,1.004206677E1
4.478659380E-1,2.199751854E0,9.706186295E0,-1.420140266E0,1.005314672E1
4.504258860E-1,2.204537392E0,9.710224152E0,-1.415354609E0,1.005741850E1
4.529854690E-1,2.206631184E0,9.702148438E0,-1.415653706E0,1.005012343E1
4.555447920E-1,2.214706898E0,9.706036568E0,-1.412064433E0,1.005514786E1
4.581040630E-1,2.217099667E0,9.707232475E0,-1.401595831E0,1.005536494E1
4.606634900E-1,2.219492435E0,9.710822105E0,-1.392323732E0,1.005807029E1
4.632229170E-1,2.221586227E0,9.714112282E0,-1.381705523E0,1.006024517E1
4.657822400E-1,2.223530531E0,9.716953278E0,-1.367498159E0,1.006147704E1
4.683415110E-1,2.225325108E0,9.715009689E0,-1.352542996E0,1.005797483E1
4.709009380E-1,2.222483635E0,9.708579063E0,-1.346261859E0,1.005029163E1
4.734606260E-1,2.219043970E0,9.709326744E0,-1.334596872E0,1.004869796E1
4.760200010E-1,2.216052771E0,9.707831383E0,-1.321884990E0,1.004491214E1
4.785793230E-1,2.211267233E0,9.706484795E0,-1.308126211E0,1.004075416E1
4.811386980E-1,2.209622145E0,9.707831383E0,-1.293619752E0,1.003981435E1
4.836983860E-1,2.205883265E0,9.706784248E0,-1.285693526E0,1.003696116E1
4.862580210E-1,2.202742815E0,9.706036568E0,-1.278515100E0,1.003463117E1
4.888172400E-1,2.193171501E0,9.698409081E0,-1.274327636E0,1.002462223E1
4.913763550E-1,2.188535452E0,9.695717812E0,-1.266849995E0,1.002005690E1
4.939356780E-1,2.182254314E0,9.693324089E0,-1.262662649E0,1.001584159E1
4.964950010E-1,2.174477577E0,9.689137459E0,-1.263559937E0,1.001021084E1
4.990542710E-1,2.165504456E0,9.687790871E0,-1.266550899E0,1.000733994E1
5.016135420E-1,2.157727718E0,9.684500694E0,-1.271486163E0,1.000310050E1
5.041727610E-1,2.150998116E0,9.681659698E0,-1.273430347E0,9.999147577E0
5.067319800E-1,2.138286114E0,9.669994354E0,-1.277019501E0,9.985581461E0
5.092913030E-1,2.133350849E0,9.661170959E0,-1.278814197E0,9.976210498E0
5.118506260E-1,2.129163504E0,9.651300430E0,-1.282552958E0,9.966236968E0
5.144102610E-1,2.123331070E0,9.645019531E0,-1.281057477E0,9.958717028E0
5.169700530E-1,2.118246317E0,9.639784813E0,-1.281954765E0,9.952679374E0
5.195298960E-1,2.113909245E0,9.635298729E0,-1.282552958E0,9.947488928E0
5.220894280E-1,2.110320091E0,9.631410599E0,-1.283001542E0,9.943018353E0
5.246487510E-1,2.097907305E0,9.623633385E0,-1.287787199E0,9.933475245E0
5.272083340E-1,2.095664024E0,9.620642662E0,-1.288235903E0,9.930162369E0
5.297680730E-1,2.098654985E0,9.615707397E0,-1.288534999E0,9.926051780E0
5.323277090E-1,2.101346970E0,9.613912582E0,-1.293320656E0,9.925505153E0
5.348875530E-1,2.103739738E0,9.614959717E0,-1.295115232E0,9.927260181E0
5.374473440E-1,2.103739738E0,9.615857124E0,-1.303639650E0,9.929244959E0
5.400068760E-1,2.101346970E0,9.619297028E0,-1.306182027E0,9.932403832E0
5.425661980E-1,2.092373848E0,9.613015175E0,-1.320239902E0,9.926284424E0
5.451253650E-1,2.090878248E0,9.613762856E0,-1.326072454E0,9.927470788E0
5.476846360E-1,2.089681864E0,9.616903305E0,-1.331157088E0,9.930940472E0
5.502438550E-1,2.088634968E0,9.617352486E0,-1.337886930E0,9.932059519E0
5.528031260E-1,2.085644007E0,9.625128746E0,-1.348505139E0,9.940396391E0
5.553625530E-1,2.085345030E0,9.632008553E0,-1.357478142E0,9.948215898E0
5.579217710E-1,2.085345030E0,9.635746956E0,-1.365404367E0,9.952919792E0
5.604810420E-1,2.080858469E0,9.629765511E0,-1.381406426E0,9.948398840E0
5.630405730E-1,2.083101749E0,9.630811691E0,-1.391725421E0,9.951318826E0
5.656001570E-1,2.085195303E0,9.631858826E0,-1.400549054E0,9.954008315E0
5.681594800E-1,2.089532375E0,9.635298729E0,-1.410568953E0,9.959660231E0
5.707183860E-1,2.093570232E0,9.635896683E0,-1.412064433E0,9.961298468E0
5.732771360E-1,2.097159386E0,9.636644363E0,-1.415504098E0,9.963264722E0
5.758365110E-1,2.102842331E0,9.637541771E0,-1.416102409E0,9.965415360E0
5.783964590E-1,2.103291035E0,9.628868103E0,-1.421187043E0,9.957846491E0
5.809565110E-1,2.109871387E0,9.625278473E0,-1.421635747E0,9.955832017E0
5.835164070E-1,2.113460541E0,9.624530792E0,-1.419542074E0,9.955571713E0
5.860761980E-1,2.119143486E0,9.626475334E0,-1.415205002E0,9.958042060E0
5.886359380E-1,2.126621008E0,9.628269196E0,-1.413709521E0,9.961157524E0
5.911956780E-1,2.133201361E0,9.630064011E0,-1.409821153E0,9.963748119E0
5.937554170E-1,2.139183521E0,9.631559372E0,-1.408774376E0,9.966327674E0
5.963150530E-1,2.142323971E0,9.626175880E0,-1.414606810E0,9.962626486E0
5.988744800E-1,2.151297092E0,9.627671242E0,-1.413560033E0,9.965855943E0
6.014341670E-1,2.156830549E0,9.626625061E0,-1.414905906E0,9.966232328E0
6.039940110E-1,2.161765814E0,9.625876427E0,-1.415952802E0,9.966727184E0
6.065537510E-1,2.164009094E0,9.623035431E0,-1.419093370E0,9.964917072E0
6.091133860E-1,2.163560390E0,9.620642662E0,-1.419392467E0,9.962551569E0
6.116727610E-1,2.168046951E0,9.620942116E0,-1.416999698E0,9.963475444E0
6.142320320E-1,2.169991016E0,9.614510536E0,-1.421934843E0,9.958392067E0
6.167911980E-1,2.177917242E0,9.614959717E0,-1.422383547E0,9.960619902E0
6.193503130E-1,2.180160522E0,9.613164902E0,-1.420140266E0,9.959058073E0
6.219094800E-1,2.179861546E0,9.611819267E0,-1.415803194E0,9.957076110E0
6.244690630E-1,2.177319050E0,9.610622406E0,-1.414158225E0,9.955130575E0
6.270289070E-1,2.175225258E0,9.607332230E0,-1.412662625E0,9.951283997E0
6.295891150E-1,2.171037912E0,9.609426498E0,-1.413560033E0,9.952519039E0
6.321492710E-1,2.160569191E0,9.604341507E0,-1.418943882E0,9.946096559E0
6.347088550E-1,2.157727718E0,9.606136322E0,-1.412513137E0,9.946297668E0
6.372682820E-1,2.155334949E0,9.610323906E0,-1.406830192E0,9.949018319E0
6.398276570E-1,2.150998116E0,9.606734276E0,-1.396810174E0,9.943199435E0
6.423870840E-1,2.147259235E0,9.603892326E0,-1.387986660E0,9.938409179E0
6.449465630E-1,2.141725779E0,9.603892326E0,-1.380210042E0,9.936131888E0
6.475060940E-1,2.139333010E0,9.606286049E0,-1.375573874E0,9.937287400E0
6.500655730E-1,2.132902384E0,9.601649284E0,-1.380808234E0,9.932148455E0
6.526255210E-1,2.135893345E0,9.606136322E0,-1.374377489E0,9.936237160E0
6.551858340E-1,2.136192322E0,9.610323906E0,-1.368694544E0,9.939565784E0
6.577463030E-1,2.131855488E0,9.616455078E0,-1.365853071E0,9.944172701E0
6.603073440E-1,2.128116608E0,9.624231339E0,-1.365703583E0,9.950872094E0
6.628686460E-1,2.124976158E0,9.631260872E0,-1.363161206E0,9.956651954E0
6.654295320E-1,2.122284174E0,9.635149002E0,-1.360618830E0,9.959491453E0
6.679903650E-1,2.115554333E0,9.636345863E0,-1.363011599E0,9.959544786E0
6.705514070E-1,2.118395805E0,9.646215439E0,-1.356431365E0,9.968800285E0
6.731121880E-1,2.118395805E0,9.654890060E0,-1.350449324E0,9.976382924E0
6.756727090E-1,2.121087790E0,9.660123825E0,-1.347607851E0,9.981635770E0
6.782330730E-1,2.121087790E0,9.660123825E0,-1.344915867E0,9.981272685E0
6.807936980E-1,2.123630047E0,9.665059090E0,-1.347308755E0,9.986912068E0
6.833542710E-1,2.118844509E0,9.667153358E0,-1.349252820E0,9.988184984E0
6.859145840E-1,2.107628107E0,9.662068367E0,-1.357777357E0,9.982044917E0
6.884747400E-1,2.104188442E0,9.663713455E0,-1.361366510E0,9.983400499E0
6.910352090E-1,2.098954201E0,9.665508270E0,-1.364507079E0,9.984464854E0
6.935961980E-1,2.096860409E0,9.669396400E0,-1.369442344E0,9.988464479E0
6.961571360E-1,2.097458601E0,9.670742035E0,-1.371236920E0,9.990138877E0
6.987177610E-1,2.100599289E0,9.671938896E0,-1.372732401E0,9.992162610E0
7.012782820E-1,2.101047754E0,9.673134804E0,-1.371386528E0,9.993229688E0
7.038389070E-1,2.094467640E0,9.664760590E0,-1.382004619E0,9.985205492E0
7.063993230E-1,2.095065832E0,9.661470413E0,-1.382602811E0,9.982229306E0
7.089595840E-1,2.100449562E0,9.665806770E0,-1.383051515E0,9.987619355E0
7.115200010E-1,2.100599289E0,9.665059090E0,-1.383201003E0,9.986947962E0
7.140803650E-1,2.103141546E0,9.661918640E0,-1.383350611E0,9.984464687E0
7.166407820E-1,2.105534315E0,9.664311409E0,-1.380808234E0,9.986932519E0
7.192011460E-1,2.110170364E0,9.664012909E0,-1.378564954E0,9.987312241E0
7.217615630E-1,2.109721899E0,9.656833649E0,-1.388285756E0,9.981618103E0
7.243221880E-1,2.115554333E0,9.656983376E0,-1.390529037E0,9.983309524E0
7.268825010E-1,2.123181343E0,9.657133102E0,-1.389930844E0,9.984990061E0
7.294429170E-1,2.130060911E0,9.659675598E0,-1.389332652E0,9.988830631E0
7.320032820E-1,2.138435602E0,9.659825325E0,-1.386192083E0,9.990328354E0
7.345634900E-1,2.143670082E0,9.659974098E0,-1.380957723E0,9.990869093E0
