"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.814260490E-1,1.389332712E-1,5.458626524E-2,9.833603859E0,9.834736751E0
4.839858930E-1,1.398305744E-1,5.054837838E-2,9.836444855E0,9.837568557E0
4.865458930E-1,1.405783296E-1,4.725824669E-2,9.836594582E0,9.837712568E0
4.891059970E-1,1.462612897E-1,4.202394933E-2,9.839436531E0,9.840613275E0
4.916659450E-1,1.513460279E-1,4.725824669E-2,9.841829300E0,9.843106366E0
4.942255800E-1,1.582254022E-1,4.950151965E-2,9.841829300E0,9.843225571E0
4.967852680E-1,1.621137410E-1,5.159523711E-2,9.839436531E0,9.840907183E0
4.993450070E-1,1.609173268E-1,4.651049152E-2,9.830463409E0,9.831890381E0
5.019047470E-1,1.637587994E-1,4.830510542E-2,9.828968048E0,9.830450815E0
5.044645910E-1,1.664507240E-1,4.770690203E-2,9.827771187E0,9.829296429E0
5.070244340E-1,1.664507240E-1,5.204389244E-2,9.826724052E0,9.828271466E0
5.095842260E-1,1.618146300E-1,5.353940651E-2,9.823583603E0,9.825062099E0
5.121439660E-1,1.577767432E-1,5.982056633E-2,9.821041107E0,9.822490541E0
5.147037570E-1,1.544866115E-1,6.296114624E-2,9.821340561E0,9.822757283E0
5.172636530E-1,1.471585929E-1,5.653043464E-2,9.812217712E0,9.813483978E0
5.198236010E-1,1.492523104E-1,5.712864175E-2,9.812965393E0,9.814266643E0
5.223834970E-1,1.489532143E-1,5.533402413E-2,9.816105843E0,9.817391855E0
5.249434970E-1,1.464108378E-1,5.862415582E-2,9.818947792E0,9.820214288E0
5.275035490E-1,1.441675574E-1,6.415756047E-2,9.819247246E0,9.820515106E0
5.300637050E-1,1.401296705E-1,6.669992954E-2,9.819545746E0,9.820772060E0
5.326237050E-1,1.365404427E-1,7.133602351E-2,9.817602158E0,9.818810735E0
5.351836010E-1,1.290628761E-1,6.625127792E-2,9.813862801E0,9.814935024E0
5.377434450E-1,1.263709515E-1,6.326024979E-2,9.814311981E0,9.815329395E0
5.403030800E-1,1.239781231E-1,6.071787328E-2,9.819695473E0,9.820665783E0
5.428626120E-1,1.245763302E-1,5.862415582E-2,9.824481010E0,9.825445699E0
5.454222990E-1,1.275673509E-1,5.937191099E-2,9.826425552E0,9.827432909E0
5.479822990E-1,1.326521039E-1,5.757729337E-2,9.828369141E0,9.829432928E0
5.505424030E-1,1.348953694E-1,5.877370760E-2,9.830014229E0,9.831115443E0
5.531022470E-1,1.299601793E-1,5.039882660E-2,9.827023506E0,9.828012041E0
5.556620910E-1,1.295115203E-1,5.413761362E-2,9.833154678E0,9.834156550E0
5.582221430E-1,1.316052526E-1,5.518447235E-2,9.838539124E0,9.839574043E0
5.607820910E-1,1.335494071E-1,5.368895829E-2,9.843474388E0,9.844526702E0
5.633418820E-1,1.378864050E-1,5.264209956E-2,9.845417976E0,9.846524208E0
5.659017780E-1,1.392323673E-1,5.413761362E-2,9.847212791E0,9.848345866E0
5.684616740E-1,1.407278776E-1,5.563312769E-2,9.849007607E0,9.850170060E0
5.710213090E-1,1.326521039E-1,5.249254778E-2,9.843624115E0,9.844657829E0
5.735807890E-1,1.319043487E-1,5.593222752E-2,9.838089943E0,9.839133137E0
5.761405280E-1,1.289133132E-1,5.922235921E-2,9.833304405E0,9.834327707E0
5.787002160E-1,1.287637651E-1,6.445665658E-2,9.831659317E0,9.832713750E0
5.812597990E-1,1.289133132E-1,6.684948504E-2,9.827920914E0,9.828993691E0
5.838195910E-1,1.314556897E-1,6.894320250E-2,9.824780464E0,9.825901736E0
5.863791740E-1,1.338485181E-1,6.864409894E-2,9.827023506E0,9.828174725E0
5.889387570E-1,1.314556897E-1,6.625127792E-2,9.819545746E0,9.820649087E0
5.914984450E-1,1.354935765E-1,6.804589182E-2,9.821788788E0,9.822959012E0
5.940581320E-1,1.393819153E-1,6.969095767E-2,9.823883057E0,9.825118954E0
5.966177160E-1,1.450648755E-1,6.879365444E-2,9.828220367E0,9.829531625E0
5.991773510E-1,1.502991766E-1,6.580262631E-2,9.832108498E0,9.833477378E0
6.017370910E-1,1.549352705E-1,6.580262631E-2,9.840333939E0,9.841773567E0
6.042968300E-1,1.568794399E-1,6.819544733E-2,9.845417976E0,9.846903925E0
6.068560490E-1,1.562812328E-1,6.355935335E-2,9.840482712E0,9.841928856E0
6.094146950E-1,1.573280841E-1,6.804589182E-2,9.842427254E0,9.843919779E0
6.119733410E-1,1.559821218E-1,6.969095767E-2,9.844371796E0,9.845854117E0
6.145322990E-1,1.549352705E-1,6.879365444E-2,9.848409653E0,9.849868537E0
6.170914140E-1,1.541875154E-1,6.580262631E-2,9.847362518E0,9.848789385E0
6.196508410E-1,1.559821218E-1,6.101697683E-2,9.846614838E0,9.848039259E0
6.222102160E-1,1.576271951E-1,5.682953820E-2,9.848558426E0,9.849983705E0
6.247690180E-1,1.522433460E-1,5.114658549E-2,9.838389397E0,9.839700195E0
6.273275590E-1,1.537388563E-1,4.995017126E-2,9.838239670E0,9.839567595E0
6.298863620E-1,1.552343667E-1,5.144568533E-2,9.838239670E0,9.839598781E0
6.324457890E-1,1.567298770E-1,5.054837838E-2,9.838389397E0,9.839767544E0
6.350054240E-1,1.556830257E-1,5.234299600E-2,9.836146355E0,9.837517578E0
6.375648510E-1,1.573280841E-1,5.623133108E-2,9.831958771E0,9.833378227E0
6.401243300E-1,1.588236094E-1,5.757729337E-2,9.830911636E0,9.832363077E0
6.426838620E-1,1.556830257E-1,5.174478889E-2,9.825378418E0,9.826747976E0
6.452433930E-1,1.591227055E-1,5.294119939E-2,9.826873779E0,9.828304588E0
6.478029240E-1,1.600200087E-1,5.159523711E-2,9.828369141E0,9.829807141E0
6.503624030E-1,1.559821218E-1,5.069793016E-2,9.834501266E0,9.835868841E0
6.529214660E-1,1.526919901E-1,4.995017126E-2,9.840034485E0,9.841345870E0
6.554803200E-1,1.522433460E-1,4.950151965E-2,9.842576981E0,9.843878812E0
6.580393300E-1,1.520937830E-1,5.159523711E-2,9.847212791E0,9.848522445E0
6.605983410E-1,1.449153274E-1,4.890331253E-2,9.844520569E0,9.845708569E0
6.631572470E-1,1.450648755E-1,5.279165134E-2,9.843624115E0,9.844834508E0
6.657164140E-1,1.452144235E-1,5.638088286E-2,9.842875481E0,9.844108073E0
6.682760490E-1,1.455135196E-1,5.967101455E-2,9.840034485E0,9.841291251E0
6.708356320E-1,1.410269886E-1,6.026922166E-2,9.840034485E0,9.841229580E0
6.733949030E-1,1.396810263E-1,6.086742505E-2,9.840184212E0,9.841363775E0
6.759542260E-1,1.434198022E-1,6.146563217E-2,9.840482712E0,9.841719731E0
6.785136530E-1,1.374377459E-1,5.039882660E-2,9.840931892E0,9.842020610E0
6.810730280E-1,1.384846121E-1,4.695914313E-2,9.845269203E0,9.846355104E0
6.836325070E-1,1.417747438E-1,4.411766678E-2,9.846764565E0,9.847883978E0
6.861917780E-1,1.449153274E-1,3.933202103E-2,9.848259926E0,9.849404603E0
6.887505800E-1,1.477568001E-1,3.753740340E-2,9.851998329E0,9.853177772E0
6.913092780E-1,1.502991766E-1,3.858426586E-2,9.850652695E0,9.851874801E0
6.938681320E-1,1.528415531E-1,3.963112459E-2,9.854391098E0,9.855655994E0
6.964271950E-1,1.480558962E-1,3.140579537E-2,9.850802422E0,9.851965044E0
6.989864660E-1,1.476072520E-1,3.020938672E-2,9.851400375E0,9.852552454E0
7.015455800E-1,1.450648755E-1,3.185445070E-2,9.854540825E0,9.855659967E0
7.041047990E-1,1.405783296E-1,3.334996477E-2,9.862168312E0,9.863226567E0
7.066642780E-1,1.368395388E-1,3.723830357E-2,9.866654396E0,9.867673521E0
7.092235490E-1,1.311565936E-1,4.307080805E-2,9.861121178E0,9.862087407E0
7.117827160E-1,1.311565936E-1,4.366901144E-2,9.856335640E0,9.857304971E0
7.143419340E-1,1.244267747E-1,3.469592705E-2,9.842875481E0,9.843723054E0
7.169011530E-1,1.269691586E-1,3.334996477E-2,9.839735031E0,9.840610696E0
7.194606840E-1,1.317548007E-1,3.215355426E-2,9.837192535E0,9.838127370E0
7.220201120E-1,1.360917836E-1,3.604188934E-2,9.837491989E0,9.838499308E0
7.245790180E-1,1.425224990E-1,4.187439755E-2,9.840184212E0,9.841305373E0
7.271377680E-1,1.434198022E-1,4.486542568E-2,9.840333939E0,9.841481300E0
7.296967260E-1,1.441675574E-1,4.980061948E-2,9.842875481E0,9.844057198E0
7.322558410E-1,1.381855011E-1,4.262215272E-2,9.838389397E0,9.839452109E0
7.348152160E-1,1.414756328E-1,4.740779847E-2,9.840632439E0,9.841763544E0
7.373746950E-1,1.420738399E-1,4.920241609E-2,9.847512245E0,9.848659973E0
7.399341740E-1,1.426720470E-1,5.338985473E-2,9.853643417E0,9.854820870E0
7.424935490E-1,1.410269886E-1,5.952146277E-2,9.859176636E0,9.860364869E0
7.450526120E-1,1.420738399E-1,6.490531564E-2,9.861719131E0,9.862956043E0
7.476118820E-1,1.431207061E-1,6.744768471E-2,9.861569405E0,9.862838529E0
7.501717260E-1,1.347458214E-1,6.041877344E-2,9.854690552E0,9.855796910E0
7.527316220E-1,1.336989701E-1,6.056832150E-2,9.857233047E0,9.858325785E0
7.552913620E-1,1.329512149E-1,6.311069429E-2,9.859625816E0,9.860724123E0
7.578509450E-1,1.323530078E-1,6.550352275E-2,9.861868858E0,9.862974471E0
7.604103200E-1,1.319043487E-1,6.774678826E-2,9.863963127E0,9.865077646E0
7.629695910E-1,1.341476142E-1,6.984051317E-2,9.868299484E0,9.869458343E0
7.655290180E-1,1.338485181E-1,7.178468257E-2,9.865009308E0,9.866178445E0
7.680884970E-1,1.266700476E-1,6.415756047E-2,9.855288506E0,9.856311329E0
7.706478720E-1,1.313061416E-1,6.864409894E-2,9.853045464E0,9.854159438E0
7.732075590E-1,1.332503110E-1,7.013961673E-2,9.848857880E0,9.850008972E0
7.757671950E-1,1.326521039E-1,7.417750359E-2,9.847661972E0,9.848834713E0
7.783265180E-1,1.322034448E-1,7.283154130E-2,9.844222069E0,9.845379136E0
