"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.561834380E-1,3.634099290E-2,7.133602351E-2,9.836744308E0,9.837070097E0
6.587459900E-1,3.813561052E-2,7.268198580E-2,9.836894035E0,9.837236464E0
6.613085950E-1,4.217349738E-2,6.909275055E-2,9.837192535E0,9.837525573E0
6.638713030E-1,4.830510542E-2,6.610172242E-2,9.839884758E0,9.840225347E0
6.664336990E-1,5.368895829E-2,6.595217437E-2,9.840034485E0,9.840401966E0
6.689960950E-1,5.383851007E-2,6.834499538E-2,9.840333939E0,9.840718553E0
6.715585950E-1,4.710869491E-2,6.116652861E-2,9.836146355E0,9.836449343E0
6.741211990E-1,4.740779847E-2,6.116652861E-2,9.838688850E0,9.838993197E0
6.766838030E-1,4.546362907E-2,6.131608039E-2,9.838539124E0,9.838835230E0
6.792463030E-1,4.860420898E-2,6.161518395E-2,9.838688850E0,9.839001834E0
6.818088030E-1,5.144568533E-2,6.430710852E-2,9.836444855E0,9.836789590E0
6.843710950E-1,5.413761362E-2,6.924230605E-2,9.834650993E0,9.835043749E0
6.869330220E-1,5.667998642E-2,6.879365444E-2,9.833154678E0,9.833558670E0
6.894947930E-1,5.428716540E-2,6.640082598E-2,9.827471733E0,9.827845991E0
6.920567200E-1,5.847460404E-2,6.804589182E-2,9.828668594E0,9.829078078E0
6.946187510E-1,5.997011811E-2,6.744768471E-2,9.832258224E0,9.832672444E0
6.971808860E-1,5.892325938E-2,6.924230605E-2,9.835548401E0,9.835968625E0
6.997428650E-1,6.056832150E-2,7.103691995E-2,9.838539124E0,9.838982003E0
7.023047930E-1,6.445665658E-2,7.507480681E-2,9.843624115E0,9.844121424E0
7.048667720E-1,6.804589182E-2,7.387840003E-2,9.848259926E0,9.848772097E0
7.074285430E-1,6.191428751E-2,6.610172242E-2,9.840632439E0,9.841049213E0
7.099904180E-1,6.266204268E-2,6.550352275E-2,9.842576981E0,9.842994405E0
7.125525530E-1,6.355935335E-2,6.984051317E-2,9.846764565E0,9.847217367E0
7.151148970E-1,6.206383556E-2,7.866404206E-2,9.848259926E0,9.848769645E0
7.176771360E-1,6.580262631E-2,8.404789865E-2,9.849605560E0,9.850183944E0
7.202392200E-1,7.133602351E-2,8.644071966E-2,9.850952148E0,9.851589672E0
7.228010950E-1,7.402794808E-2,8.868399262E-2,9.854690552E0,9.855367617E0
7.253626050E-1,6.954140961E-2,8.374879509E-2,9.848558426E0,9.849160012E0
7.279241150E-1,7.193423063E-2,8.808578551E-2,9.844820023E0,9.845476876E0
7.304858340E-1,7.163512707E-2,8.973085135E-2,9.843922615E0,9.844592204E0
7.330477610E-1,7.387840003E-2,9.107681364E-2,9.843324661E0,9.844023232E0
7.356097930E-1,7.372884452E-2,9.017950296E-2,9.840632439E0,9.841321816E0
7.381719280E-1,7.597211748E-2,8.703892678E-2,9.838239670E0,9.838917996E0
7.407339590E-1,7.567301393E-2,8.928219229E-2,9.833903313E0,9.834599742E0
7.432957300E-1,6.864409894E-2,7.941180468E-2,9.823285103E0,9.823845910E0
7.458577610E-1,6.864409894E-2,7.716853172E-2,9.822686195E0,9.823229158E0
7.484197400E-1,7.118647546E-2,8.015955985E-2,9.824630737E0,9.825215631E0
